uid,time,trade_id,price,amount,exchange,instrmnt,vol_dllr,sell2,Class,Asset,datetime,year,hour
89492603,1660525630000.0,60127423,63.721,0.19737299995291976,polo,ltc-usdt,12.57680493,0.0,spot,ltc,2022-08-15 01:07:10,2022,1
89492604,1660525633000.0,60127424,63.722,0.5057499999999999,polo,ltc-usdt,32.2274015,0.0,spot,ltc,2022-08-15 01:07:13,2022,1
89492605,1660525637000.0,60127425,63.722,0.014639000031386334,polo,ltc-usdt,0.93282636,0.0,spot,ltc,2022-08-15 01:07:17,2022,1
89492606,1660525637000.0,60127426,63.722,0.4638680000627726,polo,ltc-usdt,29.5585967,0.0,spot,ltc,2022-08-15 01:07:17,2022,1
89492607,1660525638000.0,60127427,63.723,0.11255399996861416,polo,ltc-usdt,7.17227854,0.0,spot,ltc,2022-08-15 01:07:18,2022,1
89492608,1660525642000.0,60127428,63.71,0.711982,polo,ltc-usdt,45.36037322,0.0,spot,ltc,2022-08-15 01:07:22,2022,1
89492609,1660525643000.0,60127429,63.709,0.49785400006278546,polo,ltc-usdt,31.71778049,0.0,spot,ltc,2022-08-15 01:07:23,2022,1
89492610,1660525645000.0,60127430,63.629,0.2067679999685678,polo,ltc-usdt,13.15644107,0.0,spot,ltc,2022-08-15 01:07:25,2022,1
89492611,1660525646000.0,60127431,63.63,0.37069399999999997,polo,ltc-usdt,23.58725922,0.0,spot,ltc,2022-08-15 01:07:26,2022,1
89492612,1660525652000.0,60127432,63.677,0.18521800006281702,polo,ltc-usdt,11.79412659,0.0,spot,ltc,2022-08-15 01:07:32,2022,1
89492613,1660525659000.0,60127433,63.729,0.2238640000627658,polo,ltc-usdt,14.26662886,0.0,spot,ltc,2022-08-15 01:07:39,2022,1
89492614,1660525660000.0,60127434,63.757,0.23193500007842277,polo,ltc-usdt,14.7874798,0.0,spot,ltc,2022-08-15 01:07:40,2022,1
89492615,1660525667000.0,60127435,63.652,0.1625569999371583,polo,ltc-usdt,10.34707816,0.0,spot,ltc,2022-08-15 01:07:47,2022,1
89492616,1660525668000.0,60127436,63.544,0.6746650000000001,polo,ltc-usdt,42.87091276,0.0,spot,ltc,2022-08-15 01:07:48,2022,1
89492617,1660525672000.0,60127437,63.592,0.5915090000314505,polo,ltc-usdt,37.61524033,0.0,spot,ltc,2022-08-15 01:07:52,2022,1
89492618,1660525681000.0,60127438,63.592,0.1814059999685495,polo,ltc-usdt,11.53597035,0.0,spot,ltc,2022-08-15 01:08:01,2022,1
89492619,1660525683000.0,60127439,63.591,0.07674500007862747,polo,ltc-usdt,4.8802913,0.0,spot,ltc,2022-08-15 01:08:03,2022,1
89492620,1660525683000.0,60127440,63.591,0.00012,polo,ltc-usdt,0.00763092,0.0,spot,ltc,2022-08-15 01:08:03,2022,1
89492621,1660525690000.0,60127441,63.593,0.399916999984275,polo,ltc-usdt,25.43192178,0.0,spot,ltc,2022-08-15 01:08:10,2022,1
89492622,1660525694000.0,60127442,63.595,0.7179059999999999,polo,ltc-usdt,45.65523207,0.0,spot,ltc,2022-08-15 01:08:14,2022,1
89492623,1660525703000.0,60127443,63.488,0.428806000031502,polo,ltc-usdt,27.22403533,0.0,spot,ltc,2022-08-15 01:08:23,2022,1
89492624,1660525703000.0,60127444,63.488,0.013522000063004032,polo,ltc-usdt,0.85848474,0.0,spot,ltc,2022-08-15 01:08:23,2022,1
89492625,1660525708000.0,60127445,63.532,0.21311500000000003,polo,ltc-usdt,13.53962218,0.0,spot,ltc,2022-08-15 01:08:28,2022,1
89492626,1660525716000.0,60127446,63.533,0.3878160000314797,polo,ltc-usdt,24.63911393,0.0,spot,ltc,2022-08-15 01:08:36,2022,1
89492627,1660525721000.0,60127447,63.561,0.41512,polo,ltc-usdt,26.38544232,0.0,spot,ltc,2022-08-15 01:08:41,2022,1
89492628,1660525730000.0,60127448,63.563,0.3151739999685351,polo,ltc-usdt,20.03340496,0.0,spot,ltc,2022-08-15 01:08:50,2022,1
89492629,1660525734000.0,60127449,63.564,0.48077,polo,ltc-usdt,30.55966428,0.0,spot,ltc,2022-08-15 01:08:54,2022,1
89492630,1660525739000.0,60127450,63.565,0.317406,polo,ltc-usdt,20.17591239,0.0,spot,ltc,2022-08-15 01:08:59,2022,1
89492631,1660525742000.0,60127451,63.564,0.22646799996853564,polo,ltc-usdt,14.39521195,0.0,spot,ltc,2022-08-15 01:09:02,2022,1
89492632,1660525756000.0,60127452,63.564,0.3854729999685356,polo,ltc-usdt,24.50220577,0.0,spot,ltc,2022-08-15 01:09:16,2022,1
89492633,1660525756000.0,60127453,63.664,0.14692299996858507,polo,ltc-usdt,9.35370587,0.0,spot,ltc,2022-08-15 01:09:16,2022,1
89492634,1660525761000.0,60127454,63.665,0.35284800000000005,polo,ltc-usdt,22.46406792,0.0,spot,ltc,2022-08-15 01:09:21,2022,1
89492635,1660525765000.0,60127455,63.666,0.3297480000314139,polo,ltc-usdt,20.99373617,0.0,spot,ltc,2022-08-15 01:09:25,2022,1
89492636,1660525770000.0,60127456,63.572,0.47659499999999994,polo,ltc-usdt,30.298097339999998,0.0,spot,ltc,2022-08-15 01:09:30,2022,1
89492637,1660525774000.0,60127457,63.661,0.6999139999371672,polo,ltc-usdt,44.55722515,0.0,spot,ltc,2022-08-15 01:09:34,2022,1
89492638,1660525778000.0,60127458,63.769,0.2292330000470448,polo,ltc-usdt,14.61795918,0.0,spot,ltc,2022-08-15 01:09:38,2022,1
